# surface	pinyin_plain	pinyin_toned	entity_type	flags
春节	chun jie	chūn jié	event
元宵节	yuan xiao jie	yuán xiāo jié	event
清明	qing ming	qīng míng	event
清明节	qing ming jie	qīng míng jié	event
端午	duan wu	duān wǔ	event
端午节	duan wu jie	duān wǔ jié	event
七夕	qi xi	qī xī	event
中秋	zhong qiu	zhōng qiū	event
中秋节	zhong qiu jie	zhōng qiū jié	event
重阳	chong yang	chóng yáng	event
重阳节	chong yang jie	chóng yáng jié	event
除夕	chu xi	chú xī	event
元旦	yuan dan	yuán dàn	event
国庆	guo qing	guó qìng	event
国庆节	guo qing jie	guó qìng jié	event
劳动节	lao dong jie	láo dòng jié	event
儿童节	er tong jie	ér tóng jié	event
教师节	jiao shi jie	jiào shī jié	event
万圣节	wan sheng jie	wàn shèng jié	event
圣诞节	sheng dan jie	shèng dàn jié	event
小年	xiao nian	xiǎo nián	event
腊八	la ba	là bā	event
