# surface	pinyin_plain	pinyin_toned	entity_type	flags
# Authored Latin / mixed product names. Codes are lowercase ASCII, not pinyin.
iPhone	iphone		brand
iPad	ipad		brand
iOS	ios		brand
macOS	macos		brand
iCloud	icloud		brand
GitHub	github		brand
GitLab	gitlab		brand
ChatGPT	chatgpt		brand
OpenAI	openai		brand
Claude	claude		brand
Gemini	gemini		brand
NVIDIA	nvidia		brand
Python	python		brand
JavaScript	javascript		brand
TypeScript	typescript		brand
Kubernetes	kubernetes		brand
Docker	docker		brand
PyTorch	pytorch		brand
TensorFlow	tensorflow		brand
YouTube	youtube		brand
TikTok	tiktok		brand
Instagram	instagram		brand
WhatsApp	whatsapp		brand
Facebook	facebook		brand
Twitter	twitter		brand
Android	android		brand
Windows	windows		brand
Linux	linux		brand
PayPal	paypal		brand
Discord	discord		brand
Notion	notion		brand
Figma	figma		brand
MySQL	mysql		brand
MongoDB	mongodb		brand
Redis	redis		brand
SQLite	sqlite		brand
HuggingFace	huggingface		brand
DeepSeek	deepseek		brand
ByteDance	bytedance		brand
Tesla	tesla		brand
SpaceX	spacex		brand
Netflix	netflix		brand
GraphQL	graphql		brand
WebRTC	webrtc		brand
VSCode	vscode		brand
