# surface	pinyin_plain	pinyin_toned	entity_type	flags
北京	bei jing	běi jīng	place
上海	shang hai	shàng hǎi	place
天津	tian jin	tiān jīn	place
重庆	chong qing	chóng qìng	place
广州	guang zhou	guǎng zhōu	place
深圳	shen zhen	shēn zhèn	place
杭州	hang zhou	háng zhōu	place
成都	cheng du	chéng dū	place
武汉	wu han	wǔ hàn	place
西安	xi an	xī ān	place
南京	nan jing	nán jīng	place
苏州	su zhou	sū zhōu	place
昆明	kun ming	kūn míng	place
厦门	xia men	xià mén	place
青岛	qing dao	qīng dǎo	place
大连	da lian	dà lián	place
宁波	ning bo	níng bō	place
无锡	wu xi	wú xī	place
长沙	chang sha	cháng shā	place
郑州	zheng zhou	zhèng zhōu	place
东莞	dong guan	dōng guǎn	place
佛山	fo shan	fó shān	place
合肥	he fei	hé féi	place
福州	fu zhou	fú zhōu	place
哈尔滨	ha er bin	hā ěr bīn	place
沈阳	shen yang	shěn yáng	place
长春	chang chun	cháng chūn	place
石家庄	shi jia zhuang	shí jiā zhuāng	place
南昌	nan chang	nán chāng	place
南宁	nan ning	nán níng	place
贵阳	gui yang	guì yáng	place
兰州	lan zhou	lán zhōu	place
海口	hai kou	hǎi kǒu	place
拉萨	la sa	lā sà	place
乌鲁木齐	wu lu mu qi	wū lǔ mù qí	place
银川	yin chuan	yín chuān	place
西宁	xi ning	xī níng	place
呼和浩特	hu he hao te	hū hé hào tè	place
太原	tai yuan	tài yuán	place
济南	ji nan	jǐ nán	place
河北	he bei	hé běi	place
山西	shan xi	shān xī	place
辽宁	liao ning	liáo níng	place
吉林	ji lin	jí lín	place
黑龙江	hei long jiang	hēi lóng jiāng	place
江苏	jiang su	jiāng sū	place
浙江	zhe jiang	zhè jiāng	place
安徽	an hui	ān huī	place
福建	fu jian	fú jiàn	place
江西	jiang xi	jiāng xī	place
山东	shan dong	shān dōng	place
河南	he nan	hé nán	place
湖北	hu bei	hú běi	place
湖南	hu nan	hú nán	place
广东	guang dong	guǎng dōng	place
海南	hai nan	hǎi nán	place
四川	si chuan	sì chuān	place
贵州	gui zhou	guì zhōu	place
云南	yun nan	yún nán	place
陕西	shan xi	shǎn xī	place
甘肃	gan su	gān sù	place
青海	qing hai	qīng hǎi	place
台湾	tai wan	tái wān	place
内蒙古	nei meng gu	nèi měng gǔ	place
广西	guang xi	guǎng xī	place
西藏	xi zang	xī zàng	place
宁夏	ning xia	níng xià	place
新疆	xin jiang	xīn jiāng	place
香港	xiang gang	xiāng gǎng	place
澳门	ao men	ào mén	place
纽约	niu yue	niǔ yuē	place
伦敦	lun dun	lún dūn	place
东京	dong jing	dōng jīng	place
巴黎	ba li	bā lí	place
新加坡	xin jia po	xīn jiā pō	place
洛杉矶	luo shan ji	luò shān jī	place
首尔	shou er	shǒu ěr	place
莫斯科	mo si ke	mò sī kē	place
旧金山	jiu jin shan	jiù jīn shān	place
柏林	bo lin	bó lín	place
悉尼	xi ni	xī ní	place
多伦多	duo lun duo	duō lún duō	place
