# char	notes
重	zhong/chong
行	hang/xing
长	chang/zhang
得	de/dei
还	hai/huan
为	wei
了	le/liao
着	zhe/zhao/zhuo
地	de/di
分	fen
干	gan
省	sheng/xing
传	chuan/zhuan
朝	chao/zhao
降	jiang/xiang
乐	le/yue
石	shi/dan
数	shu/shuo
都	dou/du
和	he/huo/huo
会	hui/kuai
发	fa
好	hao
看	kan
中	zhong
正	zheng
少	shao
大	da/dai
车	che
觉	jue/jiao
间	jian
将	jiang/qiang
强	qiang/jiang
空	kong
种	zhong/chong
便	bian/pian
更	geng
只	zhi
处	chu
量	liang
难	nan
倒	dao
散	san
模	mo/mu
弹	dan/tan
调	diao/tiao
转	zhuan/zhuan
差	cha/chai/ci
藏	cang/zang
血	xue/xie
角	jiao/jue
圈	quan/juan
薄	bao/bo
宿	su/xiu
落	luo/lao/la
率	lv/shuai
切	qie
塞	sai/se
扎	zha/za
啊	a
的	de/di
吗	ma
呢	ne
哦	o
嗯	en
给	gei/ji
没	mei
过	guo
说	shuo/shui
喝	he
阿	a/e
区	qu/ou
系	xi/ji
薄	bao/bo
卷	juan
干	gan
纤	xian/qian
巷	xiang/hang
壳	ke/qiao
吓	xia/he
涨	zhang
着	zhe
爪	zhua/zhao
重	chong/zhong
